component,index,type
beta_temp_turn,1,temporal
beta_temp_turn,0,temporal
beta_temp_turn,0.5714286,temporal
beta_temp_turn,0,temporal
beta_temp_turn,0.4444444,temporal
beta_temp_nest,0,temporal
beta_temp_nest,0.8,temporal
beta_temp_nest,0.06857143,temporal
beta_temp_nest,0.76470588,temporal
beta_temp_nest,0.05555556,temporal
beta_temp_jac,1,temporal
beta_temp_jac,0.8,temporal
beta_temp_jac,0.64,temporal
beta_temp_jac,0.7647059,temporal
beta_temp_jac,0.5,temporal
dst_turn_pre,0.474,spatial
dst_turn_pre,0.576,spatial
dst_turn_pre,0.612,spatial
dst_turn_pre,0.633,spatial
dst_turn_pre,0.537,spatial
dst_turn_post,0.792,spatial
dst_turn_post,0.75,spatial
dst_turn_post,0.625,spatial
dst_turn_post,0.881,spatial
dst_turn_post,0.798,spatial
dst_nest_pre,0.139,spatial
dst_nest_pre,0.12,spatial
dst_nest_pre,0.133,spatial
dst_nest_pre,0.113,spatial
dst_nest_pre,0.103,spatial
dst_nest_post,0.1146,spatial
dst_nest_post,0.1441,spatial
dst_nest_post,0.2461,spatial
dst_nest_post,0.0669,spatial
dst_nest_post,0.0992,spatial
dst_tot_pre,0.613,spatial
dst_tot_pre,0.696,spatial
dst_tot_pre,0.745,spatial
dst_tot_pre,0.746,spatial
dst_tot_pre,0.64,spatial
dst_tot_post,0.906,spatial
dst_tot_post,0.894,spatial
dst_tot_post,0.871,spatial
dst_tot_post,0.948,spatial
dst_tot_post,0.897,spatial
